,fino,int1,int2,grueso,solidos,velocidad,potencia,cu,sentidogiro,relacionfinogrueso,relacionfecu,alimreal
140,45.08,23.82,21.32,8.03,74.15,8.83,20775.53,0.4,0.0,2.966376089663761,7.95,4030.38
141,44.19,24.13,21.28,8.74,74.14,8.8,20645.6,0.41,0.0,2.760869565217391,7.829268292682928,4032.0699999999997
142,48.52,23.78,21.33,7.49,74.08,8.83,20629.37,0.4,0.0,3.1748998664886514,7.975,4018.4799999999996
143,46.24,23.92,21.69,8.61,73.93,8.79,20674.98,0.38,0.0,2.778164924506388,8.552631578947368,4035.0500000000006
144,49.7,23.6,20.77,7.13,73.8,8.8,20632.96,0.4,0.0,3.3099579242636747,8.05,3697.7699999999995
145,44.79,23.44,22.97,8.59,73.97,8.84,20608.97,0.38,0.0,2.7287543655413273,8.342105263157894,4034.65
146,41.01,22.96,23.82,10.72,74.29,8.85,20488.96,0.41,0.0,2.1417910447761193,7.951219512195122,4221.169999999999
148,43.35,23.25,23.5,9.58,74.12,8.8,20717.35,0.41,0.0,2.4269311064718164,7.902439024390245,4185.92
149,43.77,23.68,22.66,10.69,73.97,8.88,21059.79,0.38,0.0,2.215154349859682,8.342105263157894,4159.25
150,45.06,23.15,23.01,9.02,73.93,8.89,21034.02,0.41,0.0,2.566518847006652,7.902439024390245,4157.660000000001
151,45.53,23.34,22.07,9.51,74.1,8.84,20912.98,0.43,0.0,2.454258675078864,7.348837209302326,4178.63
152,46.5,23.46,21.4,8.84,74.07,8.8,20708.31,0.47,0.0,2.653846153846154,6.595744680851064,4202.58
153,46.06,23.24,22.25,9.57,74.15,8.8,20710.35,0.48,0.0,2.4284221525600835,6.395833333333333,4202.35
154,47.42,23.45,21.7,9.0,73.91,8.8,20778.33,0.53,0.0,2.6055555555555556,5.886792452830188,4143.9800000000005
155,47.21,23.59,21.06,7.88,73.83,8.84,21047.42,0.53,0.0,2.9936548223350252,5.811320754716981,4038.1900000000005
156,47.01,23.29,22.08,9.42,73.98,8.84,20944.81,0.53,0.0,2.4723991507430996,5.773584905660377,4074.1199999999994
157,45.01,24.04,21.4,9.11,73.96,8.84,20861.5,0.51,0.0,2.6388583973655324,6.0588235294117645,4087.8999999999996
158,43.2,23.09,23.23,9.94,74.26,8.85,20543.9,0.49,0.0,2.3229376257545273,6.428571428571429,4143.469999999999
159,42.87,23.04,23.58,9.47,73.96,8.85,20702.73,0.48,0.0,2.432946145723337,6.458333333333334,4241.62
161,42.44,23.63,22.96,11.57,74.03,8.73,20325.39,0.45,0.0,2.0423509075194466,7.066666666666666,4246.17
162,43.52,23.22,23.07,10.66,73.89,8.69,20303.57,0.45,0.0,2.178236397748593,7.177777777777777,4194.030000000001
163,44.26,23.5,22.34,9.99,73.83,8.84,20787.25,0.44,0.0,2.3523523523523524,7.363636363636364,4090.0600000000004
164,44.45,22.9,23.39,9.61,74.2,8.84,20689.97,0.42,0.0,2.3829344432882413,7.6190476190476195,4195.22
