TRATAMIENTO;FRD;D80;LEYSN;LEYS;LEYFE;RECUPERACION;RATIOSNS;RATIOSNS;RATIOFRDD80
2508.40;43.56;140.18;0.85;0.36;6.54;72.62;2.36;0.13;3.22
2503.30;37.15;163.62;0.88;0.40;6.54;78.27;;;
2462.00;32.33;187.07;0.86;0.33;6.37;68.32;;;
2408.70;29.69;197.51;0.86;0.32;6.54;67.33;;;
2485.20;34.69;166.98;0.88;0.34;6.70;66.11;;;
2420.10;35.96;162.37;0.86;0.33;6.35;65.49;;;
2382.60;42.94;156.26;0.91;0.34;6.46;62.45;2.68;0.14;3.64
2400.20;43.84;154.85;0.89;0.33;6.54;64.46;2.70;0.14;3.53
2426.50;42.34;165.73;0.88;0.33;6.75;61.49;2.67;0.13;3.91
2486.40;41.33;152.11;0.85;0.28;6.88;60.15;3.04;0.12;3.68
2507.60;41.03;146.10;0.86;0.27;6.83;57.53;3.19;0.13;3.56
2494.70;41.98;149.06;0.86;0.31;6.92;60.20;2.77;0.12;3.55
2392.20;37.30;167.10;0.89;0.33;6.78;74.04;;;
2477.20;33.56;178.85;0.87;0.37;7.05;79.59;;;
2496.70;41.33;150.91;0.90;0.37;6.68;68.37;2.43;0.13;3.65
2508.00;45.93;141.96;0.87;0.31;6.18;72.26;2.81;0.14;3.09
2498.80;46.70;144.46;0.86;0.28;5.89;74.09;3.07;0.15;3.09
2454.10;40.73;164.89;0.88;0.33;6.08;63.43;2.67;0.14;4.05
2508.00;45.67;152.33;0.87;0.30;6.37;59.15;2.90;0.14;3.34
2457.80;46.00;151.62;0.89;0.27;7.13;56.56;3.30;0.12;3.30
2508.00;43.32;149.34;0.86;0.28;6.08;61.07;3.07;0.14;3.45
2507.70;44.35;144.55;0.85;0.24;6.28;60.27;3.54;0.14;3.26
2508.10;40.98;156.60;0.86;0.28;6.97;67.16;3.07;0.12;3.82
2501.30;44.52;144.15;0.87;0.28;7.45;62.85;3.11;0.12;3.24
2509.30;46.29;147.81;0.88;0.29;7.24;60.27;3.03;0.12;3.19
2454.60;49.21;143.63;0.88;0.28;7.53;60.20;3.14;0.12;2.92
2478.80;44.60;146.34;0.88;0.37;7.24;61.40;2.38;0.12;3.28
2357.10;49.23;126.33;0.85;0.29;7.23;63.85;2.93;0.12;2.57
2123.10;49.34;128.90;0.86;0.19;7.39;55.68;;;
2508.00;44.19;154.12;0.88;0.32;7.54;59.22;2.75;0.12;3.49
2508.00;47.24;134.02;0.88;0.29;7.50;58.27;3.03;0.12;2.84
2508.50;47.61;124.68;0.86;0.29;7.27;57.14;2.97;0.12;2.62
2508.10;47.35;104.14;0.82;0.27;6.98;61.11;3.04;0.12;2.20
2508.00;48.22;103.10;0.82;0.31;6.66;61.95;2.65;0.12;2.14
2508.10;44.62;116.32;0.81;0.30;6.88;65.17;2.70;0.12;2.61
2507.20;38.04;135.52;0.83;0.29;6.64;64.45;2.86;0.13;3.56
2508.80;38.30;131.78;0.81;0.24;6.98;69.77;3.38;0.12;3.44
2505.80;38.67;126.41;0.80;0.25;6.59;66.36;3.20;0.12;3.27
2508.00;40.67;121.63;0.83;0.30;6.71;66.46;2.77;0.12;2.99
2508.00;43.83;125.33;0.87;0.23;6.59;61.36;3.76;0.13;2.86
2508.00;41.34;131.40;0.88;0.40;6.29;67.85;2.19;0.14;3.18
2508.00;45.91;120.51;0.88;0.28;6.71;68.15;3.13;0.13;2.62
2508.00;46.49;119.04;0.94;0.62;7.15;55.20;1.51;0.13;2.56
2508.00;42.91;123.62;0.86;0.41;7.00;74.75;2.09;0.12;2.88
2508.00;47.72;114.83;0.88;0.46;6.91;76.01;1.91;0.13;2.41
2504.30;48.88;111.67;0.89;0.37;6.95;64.90;2.41;0.13;2.28
2507.30;43.73;113.26;0.84;0.20;6.10;63.14;4.18;0.14;2.59
