Fecha;HumedadAlimento;Tonelaje;SnA;FeA;SA;Humedadconcentrado;SnCon;Recuperacion
27-Mar;16.01;2507.500;0.87;2.995;0.36;7.98;32.84;63.96
28-Mar;16.54;2508.130;0.85;3.220;0.37;8.15;33.13;64.89
29-Mar;16.82;2508.190;0.86;2.930;0.34;8.27;34.01;62.74
30-Mar;16.15;2508.130;0.85;3.185;0.34;8.58;32.27;68.03
31-Mar;16.20;2505.000;0.85;3.045;0.35;8.71;31.13;63.46
1-Abr;16.64;2508.130;0.86;3.085;0.34;9.36;33.27;67.24
2-Abr;16.19;2507.730;0.88;3.065;0.36;7.52;31.31;65.27
3-Abr;16.99;2508.700;0.88;3.080;0.41;7.10;32.37;67.99
4-Abr;16.41;2508.120;0.87;3.195;0.36;7.51;32.33;64.32
5-Abr;16.12;2507.400;0.88;3.270;0.33;7.38;32.52;63.11
6-Abr;16.40;2508.130;0.86;3.090;0.36;8.26;31.88;61.37
7-Abr;16.67;2508.130;0.85;3.020;0.36;8.23;31.50;61.93
8-Abr;16.16;2506.260;0.84;3.155;0.39;8.11;32.70;66.99
9-Abr;16.62;2516.250;0.82;3.090;0.42;8.47;32.01;65.30
10-Abr;15.80;2508.760;0.88;3.205;0.39;8.36;31.86;71.51
11-Abr;16.86;2508.130;0.83;3.110;0.32;7.12;32.24;72.53
12-Abr;16.61;2508.130;0.85;3.330;0.32;7.42;30.86;69.91
13-Abr;15.78;2507.500;0.89;3.235;0.37;7.51;32.44;65.11
14-Abr;16.28;2507.940;0.87;3.195;0.34;7.88;33.38;72.74
15-Abr;15.90;2508.750;0.89;3.160;0.37;7.70;32.79;68.57
16-Abr;16.08;2507.960;0.90;3.120;0.39;7.52;32.20;69.41
17-Abr;15.86;2507.250;0.84;3.175;0.41;7.76;32.01;71.45
18-Abr;16.17;2508.000;0.81;3.195;0.44;7.64;31.93;70.16
19-Abr;16.30;2505.000;0.83;3.195;0.38;7.36;33.72;74.23
20-Abr;16.38;2508.000;0.85;3.105;0.29;8.44;31.75;74.24
21-Abr;16.98;2508.000;0.84;3.175;0.27;9.01;32.01;70.82
22-Abr;15.08;2508.130;0.84;3.105;0.31;8.93;31.32;72.93
23-Abr;15.75;2508.000;0.83;3.200;0.35;8.41;32.03;74.96
25-Abr;16.51;2508.000;0.83;3.175;0.41;7.25;32.48;70.73
26-Abr;16.51;2508.000;0.83;3.250;0.41;7.52;32.79;71.02
27-Abr;15.62;2508.000;0.83;3.275;0.36;8.01;32.39;67.09
28-Abr;15.26;2508.000;0.84;3.290;0.42;8.37;32.44;67.57
29-Abr;15.46;2508.000;0.84;3.190;0.36;8.54;31.71;69.49
30-Abr;15.04;2508.000;0.83;3.285;0.31;8.35;32.15;67.80
1-May;15.91;2508.000;0.81;3.190;0.33;6.88;32.78;71.58
2-May;15.99;2508.000;0.83;3.205;0.37;7.37;31.67;70.71
3-May;15.25;2508.000;0.80;3.160;0.37;7.23;30.86;65.83
4-May;15.61;2508.000;0.78;3.205;0.37;7.13;32.83;66.76
5-May;15.98;2508.000;0.81;3.200;0.40;8.08;31.87;66.08
6-May;15.93;2508.000;0.86;3.205;0.32;8.31;32.99;66.54
7-May;15.30;2508.000;0.84;2.895;0.34;8.29;31.69;69.64
8-May;15.20;2508.000;0.82;2.785;0.36;9.19;32.48;71.78
9-May;15.32;2508.750;0.82;3.160;0.42;7.49;30.62;67.39
10-May;16.19;2502.280;0.80;3.085;0.48;7.23;34.08;73.80
14-May;14.85;2467.380;0.79;3.125;0.38;9.21;30.23;61.33
15-May;14.66;2503.630;0.83;2.985;0.39;9.61;30.28;61.16
16-May;14.74;2507.630;0.84;2.990;0.36;9.64;33.67;63.02
17-May;15.13;2508.380;0.85;3.125;0.36;7.71;34.10;66.43
18-May;14.75;2507.830;0.86;3.135;0.48;8.18;31.51;69.43
19-May;15.01;2409.180;0.85;3.119;0.36;8.21;31.66;72.53
20-May;14.74;2507.880;0.85;3.085;0.36;8.18;31.17;70.23
21-May;14.80;2508.000;0.87;3.190;0.41;8.07;31.94;68.32
