fino;int 1;int 2;grueso;faja5;faja15;faja 11;%solidos sag;velocidad sag;peso sag;potencia sag;cu;fe
45.77360535;23.8100605;22.64121246;9.220293045;4294.558594;402.8343506;613.1450195;72.916008;-8.922493935;3061.477404;20904.79688;0.449207842;3.479857922
45.45477295;23.41067886;22.27467155;8.637266159;4383.164063;0.330132484;424.4440613;72.60507965;-8.690551758;3037.309242;20361.7207;0.443772644;3.459806204
44.53442383;23.65266228;22.22469521;10.30337811;4280.89209;339.690094;565.5488281;73.07444;-8.690319061;3031.567923;20054.04297;0.464361519;3.365418911
43.81969452;23.41841316;22.03394699;10.0555563;4364.921875;311.7273254;547.041748;73.36552429;-8.595446587;3047.090099;19741.05469;0.444225878;3.488132477
41.18478012;23.62688637;23.20416641;10.49403858;4332.287598;336.0672302;536.5819092;73.09200287;-8.640062332;3071.269358;20160.46484;0.464226276;3.383728027
42.68237686;23.16905785;23.79394341;9.819359779;4313.107422;316.5281067;545.5861816;73.0908432;-8.790195465;3099.145011;20790.39258;0.47738865;3.479374647
43.40030289;23.36274147;22.91625023;9.605869293;4270.310059;318.5909424;592.979126;73.05053711;-9.040904999;3121.787157;21479.14453;0.440058321;3.480252981
43.69144821;23.75917053;22.80307007;10.19367027;4351.602539;337.2628784;604.4742432;73.84135437;-9.041286469;3106.457766;21483.56836;0.406469703;3.420501471
43.59441376;24.019804;23.03429222;9.58485508;4122.182129;693.2844238;625.5383911;73.92601013;-9.198230743;3132.953269;21484.89648;0.393576443;3.428985357
44.3140831;23.50896645;22.11077309;8.915221214;4175.533691;701.2384033;630.1620483;74.01270294;-9.19200325;3111.365154;21653.89844;0.409492522;3.391282797
43.81723022;23.73321724;22.56858635;9.248244286;4127.350586;710.1274414;661.3272095;74.28530884;-9.048484802;3068.468051;20866.37695;0.465570271;3.405906439
46.42514038;23.57593346;22.46967316;8.299706459;4126.303711;699.5484009;616.9828491;74.05392456;-8.796186447;3049.704018;20330.50977;0.469545603;3.508304119
44.35928726;23.82219124;21.94987679;9.146770477;4135.84668;713.7489624;633.3435059;73.97076416;-8.594314575;3037.000446;19697.06055;0.485585332;3.445682764
46.52527237;23.80965424;21.19511414;6.819108486;4053.324707;700.0988159;602.1578369;73.82229614;-8.698034286;3049.081227;19868.54297;0.432112813;3.505458593
47.51491928;23.81997871;22.01223373;8.086312294;3988.321289;706.2377319;504.8456726;73.95761871;-8.543225288;3092.16429;18872.90234;0.464786857;3.605696678
45.75164413;23.83810425;21.91441917;7.672348022;3958.028809;701.5073853;521.8652954;73.87776184;-8.896421432;3165.595816;20121.36523;0.422084004;3.574689865
43.82355118;23.80077553;22.86232567;8.316843033;3917.624512;700.8751221;582.1876831;73.91386414;-9.073959351;3172.857264;20046.71484;0.388419956;3.602392673
44.68677521;23.88425255;22.6276722;8.794289589;3881.780762;695.4741211;592.5510864;73.77881622;-9.100824356;3147.148774;20484.94727;0.420193583;3.547293901
43.78410721;23.22980118;23.4963131;9.564612389;3880.05957;724.119751;645.7271118;73.99138641;-8.598958969;3063.439142;19856.875;0.423190922;3.507002115
42.17045975;23.43867493;23.92119598;10.11102772;3881.764893;723.52948;611.2313843;74.04997253;-8.949183464;3098.774656;20126.5293;0.471720248;3.550519943
